ts,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5
1683078665.4941142,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.500546,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.5325818,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.566241,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.6010299,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.635303,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.668909,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.7045271,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.737376,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.7721431,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.806134,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.8428102,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.874578,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.945598,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.9495392,0.0,0.0,0.0,0.0,0.0,0.0
1683078665.983526,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.017953,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.0525901,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.08741,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.121956,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.155488,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.1924832,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.22354,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.257866,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.290408,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.328682,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.361449,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.396286,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.4301682,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.464115,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.4977229,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.5340018,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.56621,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.5997472,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.6343,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.668917,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.703329,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.738076,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.770157,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.8036292,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.8373609,0.0,0.0,0.0,0.0,0.0,0.0
1683078666.8744051,0.0,0.0,0.0,0.0,0.0,0.0
